-5	0.015 	0.0090 	-0.1652
-4	0.123 	0.0090 	-0.1685
-3	0.231 	0.0091 	-0.1718
-2	0.339 	0.0093 	-0.1748
-1	0.446 	0.0094 	-0.1777
0	0.554 	0.0095 	-0.1803
1	0.661 	0.0097 	-0.1825
2	0.767 	0.0099 	-0.1846
3	0.874 	0.0101 	-0.1868
4	0.980 	0.0104 	-0.1889
5	1.085 	0.0108 	-0.1908
6	1.190 	0.0112 	-0.1924
7	1.294 	0.0117 	-0.1938
8	1.398 	0.0123 	-0.1950
9	1.500 	0.0129 	-0.1958
10	1.547 	0.0223 	-0.1848
11	1.627 	0.0249 	-0.1811
